Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144
,,7000,7000,7000, 36 months,  8.81%,221.98,A,A5,Administrative Assistant/Legal Secretary,6 years,MORTGAGE,50000,Verified,Mar-2019,Issued,n,,,credit_card,Credit card refinancing,489xx,MI,15.75,0,Sep-2001,0,29,,12,0,8559,21.4%,33,w,7000.00,7000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,29,1,Joint App,72000,21.77,Verified,0,0,33756,1,1,1,2,12,25197,86,3,6,7253,49,40000,1,5,2,9,2813,18951,28.2,0,0,66,210,3,3,4,3,35,12,35,8,2,5,5,12,6,11,23,5,12,0,0,0,4,72.7,20,0,0,69211,33756,26400,29211,22538,Jan-2012,0,0,14,43.9,3,17,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 60 months, 12.40%,538.74,B,B4,Engineer,10+ years,MORTGAGE,124812,Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,765xx,TX,20.11,1,Mar-2006,1,21,,15,0,14615,35.6%,59,w,24000.00,24000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,21,1,Individual,,,,0,0,340258,0,3,1,3,12,76991,41,0,0,2694,36,41000,0,5,1,3,22684,13790,40.8,0,0,155,156,25,12,4,25,,1,,1,6,7,7,10,38,11,17,7,15,0,0,1,1,98.3,14.3,0,0,407438,91606,23300,103765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,18500,18500,18500, 60 months, 13.90%,429.51,C,C1,Social Worker,5 years,MORTGAGE,43000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,113xx,NY,21.83,0,Feb-1996,0,42,,17,0,13807,21.9%,31,w,18500.00,18500.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,91356,0,2,0,1,13,32250,94,0,1,8781,47,63000,1,0,0,2,6090,35193,24.3,0,0,164,277,18,13,2,18,42,13,42,0,4,5,9,12,9,14,19,5,17,0,0,0,0,96.6,12.5,0,0,160555,46057,46500,34355,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months, 13.90%,409.55,C,C1,QC Manager,< 1 year,MORTGAGE,67500,Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,853xx,AZ,22.61,0,Jan-2002,1,,61,11,1,10795,39.7%,20,w,12000.00,12000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Joint App,145500,15.73,,0,50,331027,5,4,2,3,2,53747,82,2,3,6117,69,27200,1,0,3,7,30093,15105,41.7,0,0,205,72,5,2,3,5,,2,,0,4,4,5,7,9,6,8,4,11,0,0,0,5,100,0,1,0,361080,64542,25900,65880,15530,May-2013,0,3,7,43,3,5,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,3000,3000,3000, 36 months, 14.74%,103.62,C,C2,Office Manager,4 years,MORTGAGE,58750,Verified,Mar-2019,Issued,n,,,medical,Medical expenses,327xx,FL,30.91,0,Jun-2004,0,24,,16,0,20502,60.1%,25,f,3000.00,3000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,37816,0,3,0,0,27,17314,48,0,0,3962,54,34100,0,1,0,0,2364,1208,89.4,0,0,177,164,35,27,4,40,24,,24,0,7,12,7,8,6,13,15,12,16,0,0,0,0,96,71.4,0,0,69911,37816,11400,35811,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 60 months, 12.40%,538.74,B,B4,Electrical Engineer,5 years,MORTGAGE,80713,Not Verified,Mar-2019,Issued,n,,,credit_card,Credit card refinancing,765xx,TX,38.58,0,Aug-2005,0,,,15,0,32868,84.3%,20,w,24000.00,24000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,223716,0,9,0,1,24,40528,45,0,0,10309,57,39000,0,0,0,1,14914,6132,84.3,0,0,163,163,29,24,1,29,,,,0,5,5,5,5,14,5,5,5,15,0,0,0,0,100,80,0,0,289462,73396,39000,89924,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months, 16.40%,424.26,C,C4,Executive Director,4 years,MORTGAGE,95000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,436xx,OH,29.5,0,Nov-1992,0,29,,19,0,16619,64.9%,36,w,12000.00,12000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,30,1,Individual,,,,0,0,176551,1,5,2,5,7,35115,65,3,6,4899,65,25600,4,0,3,12,9292,3231,82.5,0,0,316,269,5,5,2,12,58,7,29,1,6,8,6,9,10,13,23,8,19,0,0,0,6,80.6,66.7,0,0,209488,51734,18500,54263,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 36 months,  8.19%,314.25,A,A4,Executive Assistant,10+ years,RENT,72000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,481xx,MI,23.9,0,Aug-2006,0,,,11,0,9902,20.4%,21,w,10000.00,10000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,13224,0,3,0,0,30,3322,9,0,2,4743,16,48600,0,0,1,2,1202,16598,37.4,0,0,151,77,20,20,3,20,,0,,0,3,3,4,6,7,8,11,3,11,0,0,0,0,100,50,0,0,85158,13224,26500,36558,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,4000,4000,4000, 36 months, 14.74%,138.16,C,C2,Case Packer,5 years,MORTGAGE,50000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,494xx,MI,15.6,0,May-2010,1,,,9,0,8404,57.6%,19,w,4000.00,4000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,167586,2,2,0,1,17,10299,57,2,4,2378,57,14600,1,5,1,5,18621,221,95.1,0,0,102,106,3,3,1,34,,4,,0,2,5,2,5,5,6,13,5,9,0,0,0,2,100,100,0,0,188978,18703,4500,18208,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,30000,30000,30000, 36 months,  8.81%,951.35,A,A5,Chief Executive Officer,1 year,MORTGAGE,112000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,296xx,SC,13.59,0,Jul-2002,0,,,11,0,18350,35.6%,15,w,30000.00,30000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,221645,1,5,1,1,3,50667,85,1,1,10499,62,51500,0,0,2,2,20150,22864,44.5,0,0,104,200,7,3,2,27,,0,,0,3,4,3,3,7,5,6,4,11,0,0,0,2,100,0,0,0,274968,69017,41200,59493,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,16000,16000,16000, 60 months, 28.80%,505.93,D,D5,Station Agent ,10+ years,RENT,84000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,183xx,PA,22.79,0,May-2007,0,,107,10,1,13567,83.2%,16,w,16000.00,16000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,93945,0,6,1,3,7,80378,86,1,1,925,85,16300,2,3,1,4,9395,1075,46.3,0,0,89,82,9,7,1,62,,7,,0,1,4,1,2,8,4,7,4,10,0,0,0,2,100,0,1,0,109990,93945,2000,93690,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 36 months, 20.00%,371.64,D,D2,Fresh,2 years,RENT,28000,Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,211xx,MD,24.13,0,Nov-2005,1,,69,9,1,3190,29.8%,29,w,10000.00,10000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,11197,4,3,2,4,3,8007,74,5,9,2572,52,10700,3,0,3,13,1244,4313,39.3,0,0,153,160,4,3,0,4,,6,,0,2,3,3,14,10,6,19,3,9,0,0,0,7,100,0,1,0,21489,11197,7100,10789,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,15000,15000,15000, 36 months, 17.97%,542.07,D,D1,Administrative Assistant,5 years,MORTGAGE,58240,Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,907xx,CA,38.53,1,Aug-2005,0,8,,9,0,67035,66.4%,18,w,15000.00,15000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,8,1,Individual,,,,0,0,271606,0,2,1,3,7,34645,88,1,3,13753,78,116700,4,2,2,6,30178,12317,66.4,0,0,163,157,10,7,1,10,24,7,24,1,5,6,5,6,7,6,10,6,9,0,0,1,2,88.9,20,0,0,336009,101680,36700,39309,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,14400,14400,14400, 36 months, 25.00%,572.55,D,D4,Assistant VP,10+ years,MORTGAGE,46340,Verified,Mar-2019,Issued,n,,,other,Other,637xx,MO,49.96,2,Dec-2003,0,4,,14,0,3430,87.9%,71,w,14400.00,14400.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Joint App,85060,33.05,Verified,0,0,303616,1,5,2,4,8,34183,72,0,2,2336,78,3900,1,0,4,7,23355,267,92.6,0,0,133,183,14,5,5,32,23,5,4,0,3,4,3,12,38,5,22,4,14,0,0,0,3,94.4,100,0,0,322499,48758,3600,47604,27821,Dec-2003,0,5,14,86.6,3,11,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 36 months,  8.19%,754.18,A,A4,Pilot,10+ years,MORTGAGE,329991,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,309xx,GA,20.7,0,Jul-1995,0,,,21,0,45747,80%,39,w,24000.00,24000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,486641,0,11,2,7,9,93397,50,0,1,6922,57,58500,5,5,2,8,23173,12354,59.4,0,0,106,284,22,9,3,22,,9,,0,5,7,7,7,23,9,13,7,21,0,0,0,2,100,28.6,0,0,611066,139144,28500,187566,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,16000,16000,16000, 60 months, 16.40%,392.5,C,C4,Hostler,6 years,MORTGAGE,65000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,610xx,IL,9.66,0,Jul-2007,3,,101,15,1,3217,6.8%,24,w,16000.00,16000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,May-2019,Apr-2019,0,,1,Individual,,,,0,5913,16668,1,1,0,1,17,13451,82,5,8,1278,26,47300,4,0,5,9,1111,34983,8.4,0,0,140,59,2,2,0,2,,1,,0,4,4,11,11,7,14,17,4,15,0,0,0,5,100,0,1,0,63800,16668,38200,16500,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,6500,6500,6500, 36 months, 12.40%,217.14,B,B4,Portfolio Specialist,3 years,MORTGAGE,97000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,765xx,TX,30.82,0,Jan-2007,0,,,12,0,38324,83.7%,24,w,6500.00,6500.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,445917,1,4,1,2,4,10263,47,0,1,15313,73,45800,0,5,0,3,37160,3166,90.8,0,0,134,106,20,4,2,36,,,,0,4,7,4,4,12,7,9,7,12,0,0,0,1,100,75,0,0,521565,48587,34400,58765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,18500,18500,18500, 60 months, 14.74%,437.6,C,C2,,n/a,MORTGAGE,43000,Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,305xx,GA,19.73,0,Apr-1996,1,,,7,0,5417,24%,27,w,18500.00,18500.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,May-2019,Apr-2019,0,,1,Individual,,,,0,0,22602,1,3,1,2,6,17185,77,1,2,499,51,22600,0,11,1,4,3229,11501,4.2,0,0,275,75,7,6,0,7,,4,,0,1,2,2,3,20,4,7,2,7,0,0,0,2,100,0,0,0,44790,22602,12000,22190,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,  8.81%,380.54,A,A5,Front Office ,2 years,MORTGAGE,170000,Not Verified,Mar-2019,Issued,n,,,credit_card,Credit card refinancing,704xx,LA,16.47,1,Mar-1993,1,19,81,13,1,24555,71%,29,w,12000.00,12000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,May-2019,Apr-2019,0,,1,Individual,,,,0,0,430741,1,3,0,3,16,79733,86,3,4,8857,79,34600,1,3,1,9,39158,6510,68.1,0,0,174,312,6,6,2,6,19,6,19,0,3,5,6,9,12,9,15,5,13,0,0,0,3,96.4,25,1,0,463172,104288,20400,93364,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,8400,8400,8400, 36 months, 13.90%,286.69,C,C1,finance shared services specialist 2,10+ years,RENT,66000,Not Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,331xx,FL,17.78,0,Feb-2003,0,65,61,29,1,16937,13%,41,w,8400.00,8400.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,23673,3,1,0,1,18,6736,56,4,14,4324,17,130100,2,0,1,15,816,23390,41.8,0,0,193,63,2,2,0,2,,11,,2,8,10,9,12,5,28,35,10,29,0,0,0,4,94.7,22.2,1,0,142100,23673,40200,12000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,6000,6000,5975, 36 months,  7.56%,186.81,A,A3,,n/a,MORTGAGE,33000,Source Verified,Mar-2019,Issued,n,,,credit_card,Credit card refinancing,922xx,CA,17.89,0,Jul-1996,0,66,,13,0,5176,43.5%,26,f,6000.00,5975.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,May-2019,Apr-2019,0,66,1,Individual,,,,0,0,77163,0,0,0,0,107,0,,1,2,2311,44,11900,0,0,0,2,6430,4024,56.3,0,0,107,272,10,10,2,10,66,22,66,3,4,4,8,15,1,12,23,4,13,0,0,0,1,88.5,42.9,0,0,90155,5176,9200,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,3025,3025,3025, 36 months, 17.19%,108.14,C,C5,Warehouse employee,3 years,RENT,30000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,300xx,GA,11.88,0,Jul-2005,0,27,,9,0,2885,43.7%,22,w,3025.00,3025.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,82,1,Individual,,,,0,0,19021,0,3,0,1,16,16136,82,3,4,1530,72,6600,1,1,1,5,2378,59,97.6,0,0,164,149,7,7,3,9,,7,82,1,2,4,2,5,7,6,12,4,9,0,0,0,3,90.9,100,0,0,26381,19021,2500,19781,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 36 months,  6.46%,367.57,A,A1,server,7 years,MORTGAGE,50000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,982xx,WA,12.15,0,Jan-2012,0,,,8,0,14960,35.3%,13,w,12000.00,12000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,0,156886,1,1,0,0,35,463,4,1,1,9841,28,42400,0,2,4,2,19611,20698,34.1,0,0,59,86,2,2,2,25,,9,,0,3,4,4,6,3,6,8,4,8,0,0,0,2,100,25,0,0,196741,15423,31400,12741,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,40000,40000,40000, 60 months, 12.40%,897.89,B,B4,SVP,10+ years,MORTGAGE,515000,Source Verified,Mar-2019,Issued,n,,,debt_consolidation,Debt consolidation,117xx,NY,18.19,0,Feb-1993,1,,,24,0,130490,86.4%,49,w,40000.00,40000.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,,0.0,Apr-2019,Apr-2019,0,,1,Individual,,,,0,205,569565,3,6,2,3,4,72207,39,3,3,20896,67,151100,1,6,2,7,23732,4733,94.8,0,0,160,304,3,3,6,10,,0,,0,10,14,10,17,12,15,28,14,24,0,0,0,5,100,100,0,0,752911,204997,90800,144678,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
